tower,section_id,section_height_m,r2_del,r2_damage,coef_thrust_turbulence,coef_rotor_cyclic,coef_wave_quasistatic,coef_wave_inertial
ref,20,96.45220149,0.724416982540375,0.5374164715694811,0.0,1.1280398301075523e-06,7.436914557946705e-06,2.161806641525919e-06
ref,21,101.49351563,0.7261505108930483,0.540179383337053,0.0,1.06490126621923e-06,7.083988349533606e-06,1.984179968516941e-06
ref,22,106.534829775,0.7284776257636705,0.5440977645412453,0.0,9.97437842166182e-07,6.67913382511993e-06,1.8004245832258648e-06
ref,23,111.57614392,0.7314601631609146,0.5492648068787591,0.0,9.283178731083424e-07,6.281379732982809e-06,1.6153949469513591e-06
ref,24,116.617458065,0.735272144148736,0.5559151086882043,0.0,8.526646687550988e-07,5.8778659741274765e-06,1.4181601126714733e-06
ref,25,121.65877221,0.739976357523024,0.5644250441394132,0.0,7.903619846113183e-07,5.556355781907705e-06,1.2505284688429798e-06
ref,26,126.70008635,0.7456988949153733,0.5749532037696272,0.0,7.388582794605306e-07,5.355801389867396e-06,1.0941348662381792e-06
ref,27,131.741400495,0.7528411963112419,0.5879606456163822,0.0,6.375684879573611e-07,4.943316610463078e-06,8.505983248932163e-07
ref,28,136.78271464,0.761788605411202,0.6037127971351742,0.0,4.4255047448517446e-07,3.945235946227953e-06,4.846880398619332e-07
ref,29,141.824028785,0.7712566300797155,0.619235259109751,0.0,2.461680461142e-07,2.8116704922418116e-06,1.6066383581428443e-07
ref,30,146.86534293,0.7750315639003196,0.6238102410088586,0.0,1.395090419002726e-07,2.23803681274959e-06,0.0
opt1,1,1.5939449149999998,0.7990005595076717,0.7203752666818473,1.959263869783228e-08,1.0240601526117717e-07,2.1275624318418235e-07,9.625965733761026e-08
opt1,2,5.7085469,0.7990360816892035,0.720217606589867,1.912119081833799e-08,9.882572668256643e-08,2.0833285513835353e-07,9.236671057785848e-08
opt1,3,10.74986104,0.7992663850083439,0.7203077725008117,1.8519240433151542e-08,9.495365822295778e-08,2.04203670541547e-07,8.818875459382397e-08
opt1,4,15.791175185000002,0.7992350291587669,0.7198620495444482,1.8112589754382233e-08,9.122680282321217e-08,1.996673224777208e-07,8.414165004961902e-08
opt1,5,20.83248933,0.7990248461887626,0.7190560259241527,1.7778483792536145e-08,8.731455172302025e-08,1.944293248637463e-07,7.997307628876749e-08
opt1,6,25.873803475,0.7989793681366156,0.7184876669958169,1.7400526779653772e-08,8.376340874564614e-08,1.9025081848454258e-07,7.627569815142858e-08
opt1,7,30.91511762,0.7986751867562596,0.7174126555900961,1.7191944212046302e-08,8.05260356850791e-08,1.8594450585442968e-07,7.283569780112292e-08
opt1,8,35.95643176,0.7982895967662533,0.7162058056714875,1.7030415848130683e-08,7.743963079358406e-08,1.8180437608159174e-07,6.960335183446997e-08
opt1,9,40.997745905,0.7979310515353826,0.7149118495159814,1.6748676110451398e-08,7.427045980287945e-08,1.7768533441740938e-07,6.61958389788402e-08
opt1,10,46.03906005,0.7974555875869893,0.713401336105433,1.6526210906086797e-08,7.17130574963874e-08,1.741694734950513e-07,6.327558127426154e-08
opt1,11,51.080374195,0.7969458488528708,0.7118024130919138,1.6227345452161395e-08,6.931803396117389e-08,1.7092639001111645e-07,6.045706787075689e-08
opt1,12,56.12168833999999,0.7966115822216564,0.7104190116922939,1.574117221364816e-08,6.713298277449388e-08,1.6858949552393813e-07,5.7804613112177946e-08
opt1,13,61.16300248,0.7962568354689623,0.7090978284718361,1.523430856951053e-08,6.554453338922402e-08,1.671658039676326e-07,5.574193834346248e-08
opt1,14,66.204316625,0.7960099759782133,0.7078947073896762,1.452129665806408e-08,6.415513089127431e-08,1.663543946425652e-07,5.368947540330881e-08
opt1,15,71.24563077,0.7959142892371466,0.7068849082115665,1.348077989704258e-08,6.27428694103613e-08,1.6609264521717296e-07,5.150664357820782e-08
opt1,16,76.28694491499999,0.7958855548199846,0.7060625083876388,1.2412866526412185e-08,6.199432453355319e-08,1.6709610287406495e-07,4.989133219000081e-08
opt1,17,81.32825906,0.7959112973261241,0.705124480770895,1.1110423478723767e-08,6.144991055367597e-08,1.6907294506318337e-07,4.824691943272377e-08
opt1,18,86.3695732,0.7959594328739907,0.7038755546024873,9.490128587047222e-09,6.090670554828602e-08,1.7210802440219157e-07,4.650299250959609e-08
opt1,19,91.410887345,0.7960151276926013,0.7025861625530837,7.857953077539328e-09,6.115065518128907e-08,1.7691837525360072e-07,4.540116173228303e-08
opt1,20,96.45220149,0.7960342042965004,0.7009000138493104,5.8669822061434735e-09,6.172371183680185e-08,1.8359483648572314e-07,4.440523209909165e-08
opt1,21,101.49351563,0.7959442003503467,0.6983687161053675,3.2603546016524997e-09,6.270127829614734e-08,1.929116214618221e-07,4.325989086311189e-08
opt1,22,106.534829775,0.7957061301931911,0.6953635679178968,3.245996567868108e-10,6.491929738295652e-08,2.0600761138624283e-07,4.308227948957749e-08
opt1,23,111.57614392,0.795063141748892,0.6905579130701351,0.0,6.425893366487878e-08,2.2488836287283896e-07,4.2848248963162846e-08
opt1,24,116.617458065,0.7936726628268207,0.6834711072075383,0.0,6.294482528754272e-08,2.520862231132718e-07,4.233566781043393e-08
opt1,25,121.65877221,0.7914209289285197,0.6743732052119564,0.0,6.283934407160422e-08,2.9288887868880034e-07,4.241444365979023e-08
opt1,26,126.70008635,0.787577138417854,0.6617740751527137,0.0,6.232434642890065e-08,3.537162389126007e-07,4.1921729159712317e-08
opt1,27,131.741400495,0.7820512070449348,0.6452963969372305,0.0,6.006343617481255e-08,4.4227688012132696e-07,3.775793350522824e-08
opt1,28,136.78271464,0.7756728336671104,0.6281888730165814,0.0,5.505469543172436e-08,5.570335093748983e-07,2.8679879950698147e-08
opt1,29,141.824028785,0.768398357838364,0.6102616850076892,0.0,4.5151285538926314e-08,6.951955063142602e-07,9.180142816074104e-09
opt1,30,146.86534293,0.7605415523341157,0.5986708143281442,0.0,2.7396799547673745e-08,8.1713193672418e-07,0.0
opt2,1,1.5939449149999998,0.8084457262326206,0.7437489079237591,2.1059178804532908e-08,1.0038030838137238e-07,2.2715113114797742e-07,1.0093333228155997e-07
opt2,2,5.7085469,0.8089475496013675,0.7444125523199223,2.0798384815086046e-08,9.988376374716255e-08,2.2886781317512014e-07,1.0048910997323237e-07
opt2,3,10.74986104,0.809640547553053,0.7452615113650172,2.0418006221482003e-08,9.936439285799859e-08,2.3151197866262473e-07,9.999976105874387e-08
opt2,4,15.791175185000002,0.8101043986515188,0.7456907083735522,2.0198291737032177e-08,9.887144218546573e-08,2.3367118455522185e-07,9.949243683981143e-08
opt2,5,20.83248933,0.8104559095010427,0.7458852046672031,2.0040655281728426e-08,9.835719276196006e-08,2.3565025393360714e-07,9.895147688218663e-08
opt2,6,25.873803475,0.810885810346667,0.7460834965623488,1.9808438236825272e-08,9.789308210927741e-08,2.381386064779381e-07,9.836998651140473e-08
opt2,7,30.91511762,0.8110902695951103,0.745915470149766,1.9743902474124717e-08,9.753565845200759e-08,2.4022636146941513e-07,9.786967074130802e-08
opt2,8,35.95643176,0.811189544389535,0.7455358116381231,1.9710184813063622e-08,9.720239789947577e-08,2.422933438882064e-07,9.734700531768281e-08
opt2,9,40.997745905,0.8113141312091378,0.7451090194557932,1.9580200000558133e-08,9.68718343792055e-08,2.448765435511226e-07,9.681437872410147e-08
opt2,10,46.03906005,0.8113109210682061,0.7444695301231703,1.952558669105131e-08,9.70715607461181e-08,2.481852292301431e-07,9.673635216200485e-08
opt2,11,51.080374195,0.8112356800076878,0.7436801658302489,1.9383336941024035e-08,9.731269628933087e-08,2.5175384455072344e-07,9.666902291135438e-08
opt2,12,56.12168833999999,0.8111042721817798,0.7425722174397792,1.896181572746036e-08,9.726295861782089e-08,2.55265929631457e-07,9.604486886094526e-08
opt2,13,61.16300248,0.8108242559602765,0.7412676288357707,1.8357883464031592e-08,9.7443274087685e-08,2.5878567259756716e-07,9.542936932333888e-08
opt2,14,66.204316625,0.8105960879843855,0.7400369998308589,1.7383327160969178e-08,9.782889097635867e-08,2.633061370493769e-07,9.487182610024916e-08
opt2,15,71.24563077,0.810455421285796,0.7387430480047343,1.584576941575018e-08,9.848287393274852e-08,2.6967658396310146e-07,9.424217418808327e-08
opt2,16,76.28694491499999,0.8101665488934254,0.7372071411417008,1.4130442778204599e-08,9.936049161825115e-08,2.7635382747546836e-07,9.35275504438937e-08
opt2,17,81.32825906,0.8097804966374533,0.7352928239736121,1.200307491999181e-08,1.0041705818839243e-07,2.845290730887987e-07,9.264909813958691e-08
opt2,18,86.3695732,0.8092078838963063,0.7327148073465934,9.261831079942996e-09,1.016653724405805e-07,2.9497540431870363e-07,9.159332625383098e-08
opt2,19,91.410887345,0.8082948845278923,0.729599682801797,6.521652035654098e-09,1.0287459748926736e-07,3.052420455162032e-07,9.059780938371425e-08
opt2,20,96.45220149,0.8070790796392808,0.7254235495843173,3.173779303609463e-09,1.0431375844092516e-07,3.17696820760731e-07,8.918409230738833e-08
opt2,21,101.49351563,0.8054389603162521,0.7196710272637584,0.0,1.0480179739190933e-07,3.33563056486583e-07,8.710072181583789e-08
opt2,22,106.534829775,0.8033477316524622,0.7128258233545848,0.0,1.0148832811699295e-07,3.498771505684915e-07,8.462280602740692e-08
opt2,23,111.57614392,0.8005517858289292,0.703832845970874,0.0,9.712353948282555e-08,3.701043386926925e-07,8.110630934688136e-08
opt2,24,116.617458065,0.7969055896392239,0.6922602730488918,0.0,9.123381525760841e-08,3.962169481881143e-07,7.539061332919447e-08
opt2,25,121.65877221,0.7926546552757066,0.6792614028855122,0.0,8.420493506125555e-08,4.2470751006272254e-07,6.775754539812963e-08
opt2,26,126.70008635,0.7873374389972485,0.6633486458413913,0.0,7.519521378923253e-08,4.611320514215247e-07,5.68809662918091e-08
opt2,27,131.741400495,0.7809641327684714,0.6446544710425107,0.0,6.33783773778565e-08,5.049954364160377e-07,4.093484091568348e-08
opt2,28,136.78271464,0.7746628635668293,0.6272769444660939,0.0,4.796345485226489e-08,5.374071453853523e-07,2.203569891344145e-08
opt2,29,141.824028785,0.7679870075631773,0.6102756274770034,0.0,3.256429467757548e-08,5.908526247090229e-07,0.0
opt2,30,146.86534293,0.7600561887818109,0.6012754080113393,0.0,1.2639633670288192e-08,6.101743569061512e-07,0.0
